"story_id","release","epic_id","epic_title","capability_id","capability_title","channel","persona","story","acceptance_criteria"
"SIBA-US-001","R1","E01","Access, Identity, And Role Governance","E01-C01","Secure login and role-based feature gating","Website, ERP, Mobile","Owner/Admin","As an Owner/Admin, I want secure sign-in with API key and role context so that each user sees only permitted modules.","User must authenticate before protected endpoints are available. || Access must be restricted by role values owner, admin, parent, teacher, driver. || Unauthorized access attempts must return explicit denial and be logged with timestamp and actor. || Session/token expiration behavior must be consistent across Website, ERP, Mobile."
"SIBA-US-002","R1","E01","Access, Identity, And Role Governance","E01-C01","Secure login and role-based feature gating","ERP","Owner/Admin","As an Owner/Admin, I want role assignment management so that one user can hold one or more approved responsibilities.","Admin can map user_id to role_id and manage status active/inactive. || Duplicate active role assignments for same user and role are blocked. || Any role assignment update is auditable with created_at and updated_at. || Inactive role assignment immediately removes menu visibility and action permissions."
"SIBA-US-003","R1","E01","Access, Identity, And Role Governance","E01-C01","Secure login and role-based feature gating","Website, Mobile","Parent, Teacher, Driver","As an end user, I want profile and role-aware home views so that I can access only relevant tasks.","Parent home shows children, invoices, attendance summary, notices. || Teacher home shows classes, attendance actions, assessments, assignment grading queue. || Driver home shows route, stop sequence, assignment status, alerts. || Role change in ERP reflects in Website and Mobile on next session refresh."
"SIBA-US-004","R1","E02","Admissions And Student Lifecycle","E02-C01","Application intake and review workflow","Website, ERP","Reception/Admissions Staff","As admissions staff, I want to register a new applicant with mandatory identity and guardian details so that applications are complete on first entry.","Applicant capture enforces mandatory fields from student and parent entities. || admission_status defaults to not_started and admission record is generated. || Duplicate application number is prevented. || Validation errors must specify offending field and reason."
"SIBA-US-005","R1","E02","Admissions And Student Lifecycle","E02-C01","Application intake and review workflow","ERP","Student Counsellor","As a Student Counsellor, I want to review and update admission status with remarks so that eligibility decisions are traceable.","Counsellor can move review_status through not_started, in_review, accepted, rejected. || reviewed_by_user_id and reviewed_at are auto-captured on decision. || Rejection requires remarks. || Accepted application triggers enrollment-ready state event."
"SIBA-US-006","R1","E02","Admissions And Student Lifecycle","E02-C01","Application intake and review workflow","ERP","Reception/Admissions Staff","As admissions staff, I want one-click conversion of accepted applicants to active students so that onboarding is consistent and fast.","Conversion creates student record linked to parent and user. || class_id assignment is mandatory before activation. || Student status becomes active and admission_date is stored. || System generates audit record linking admission_id to student_id."
"SIBA-US-007","R1","E02","Admissions And Student Lifecycle","E02-C02","Parent and student relationship integrity","ERP","Reception/Admissions Staff","As admissions staff, I want to map student to parent/guardian relation type so that communication and billing follow the right contact.","relation_type must be father, mother, or guardian. || At least one active guardian relation is required for active student. || Parent contact and address are reusable across siblings. || Inactive parent relation blocks billing dispatch to that contact."
"SIBA-US-008","R1","E03","Academic Structure And Timetable","E03-C01","Class and section setup","ERP","Owner/Admin","As an admin, I want class and section configuration with teacher ownership so that academic planning is structured.","class_level, section, room_no, class_teacher_id are mandatory. || Duplicate class_level + section in same academic cycle is blocked. || Class status controls whether attendance and assessments can be created. || Class updates retain historical assignment trail."
"SIBA-US-009","R1","E03","Academic Structure And Timetable","E03-C01","Class and section setup","ERP","Owner/Admin","As an admin, I want subject catalog management by subject groups so that timetable and evaluation use normalized definitions.","Subject requires name, subject_group, and book_name. || subject_group only allows science, arts, language, social. || Subject can be marked inactive but not deleted if referenced by period or exam schedule. || Subject edits are versioned for change history."
"SIBA-US-010","R1","E03","Academic Structure And Timetable","E03-C02","Timetable and period mapping","ERP, Mobile","Owner/Admin, Teacher","As an admin and teacher, I want period schedules with teacher and subject mapping so that class delivery is conflict-free.","Period requires class_id, subject_id, teacher_id, start_time, end_time. || Teacher cannot be allocated to overlapping periods. || Mobile teacher view displays period list for the day. || Schedule modifications trigger teacher notification for impacted periods."
"SIBA-US-011","R1","E04","Attendance Operations","E04-C01","Session-wise attendance register","ERP, Mobile","Teacher","As a teacher, I want to open attendance session by class, date, and period so that daily attendance is captured accurately.","Session creation requires class_id, attendance_date, period_no, teacher_id. || Session cannot be duplicated for same class/date/period. || Active session supports real-time marking for all enrolled students. || Session closure locks records except authorized correction workflow."
"SIBA-US-012","R1","E04","Attendance Operations","E04-C01","Session-wise attendance register","Mobile, ERP","Teacher","As a teacher, I want bulk attendance marking with present/absent/late/excused so that marking is fast in class.","attendance_state accepts only defined enum values. || in_time and out_time remain optional but validated when present. || Late marking can capture remarks. || Each mark stores marked_by_user_id and timestamp."
"SIBA-US-013","R2","E04","Attendance Operations","E04-C02","Staff attendance and exceptions","ERP","Owner/Admin","As an admin, I want staff attendance tracking including leave and half-day so that payroll inputs remain reliable.","Staff attendance supports present, absent, leave, half_day. || One staff attendance per staff_id per date is enforced. || Corrections require reason and privileged role. || Attendance export is available for payroll run consumption."
"SIBA-US-014","R2","E04","Attendance Operations","E04-C02","Staff attendance and exceptions","Mobile","Parent","As a parent, I want same-day attendance visibility with exception alerts so that I can respond quickly.","Parent sees attendance_state per child per session/day. || Absent/late events trigger mobile notification. || Excused events must display remarks. || Parent cannot modify attendance records."
"SIBA-US-015","R2","E05","Assessment, Exams, Results, And Assignments","E05-C01","Assessment and exam lifecycle","ERP","Teacher","As a teacher, I want to create assessments and map them to class and subject so that evaluation is structured.","Assessment requires class_id, subject_id, teacher_id, type, title, max_marks, date. || Status transitions scheduled -> completed -> cancelled are enforced. || max_marks must be positive. || Assessment changes notify enrolled students' guardians."
"SIBA-US-016","R2","E05","Assessment, Exams, Results, And Assignments","E05-C01","Assessment and exam lifecycle","ERP","Owner/Admin","As an admin, I want exam definitions and schedules per subject so that institutional exams run consistently.","exam_id includes title, type, academic_year, start_date, end_date. || exam_schedule stores subject/date/time/max/pass marks. || Overlapping room allocation can be detected and flagged. || Schedule publish triggers role-targeted notifications."
"SIBA-US-017","R2","E05","Assessment, Exams, Results, And Assignments","E05-C02","Marks, grading, and publish","ERP, Mobile","Teacher, Parent","As a teacher and parent, I want marks entry and result visibility with grading scale so that performance is transparent.","Marks entry validates against max_marks and absence flag. || Percentage is auto-calculated where applicable. || grading_scale_id can be assigned from active grading scales. || Parent receives result publication alert and can view breakdown."
"SIBA-US-018","R2","E05","Assessment, Exams, Results, And Assignments","E05-C03","Assignment creation and submission","ERP, Mobile","Teacher","As a teacher, I want assignment publishing with due dates and optional marks so that out-of-class work is tracked.","Assignment supports draft, published, closed states. || Published assignment appears in student/parent mobile task list. || due_date cannot be earlier than assigned_date. || Closing assignment prevents new submissions."
"SIBA-US-019","R2","E05","Assessment, Exams, Results, And Assignments","E05-C03","Assignment creation and submission","Mobile, Website","Parent","As a parent, I want to submit assignment text or attachment and monitor grading status so that academic follow-up is easier.","Submission supports text and optional attachment URL. || Submission state supports submitted, graded, late, missing. || Grading feedback and score are visible after teacher update. || Late submission is auto-tagged when submitted after due_date."
"SIBA-US-020","R1","E06","Fees, Invoices, And Payments","E06-C01","Fee structure and assignment","ERP","Accountant/Finance Staff","As finance staff, I want class-level fee structure setup with frequencies and effective dates so that billing is rule-based.","Fee structure requires class_id, fee_type, frequency, amount, effective_from. || frequency supports one_time, monthly, quarterly, annual. || Multiple active fee structures of same type and overlapping dates are blocked. || late_fee_per_day is optional and defaulted to zero."
"SIBA-US-021","R1","E06","Fees, Invoices, And Payments","E06-C01","Fee structure and assignment","ERP","Accountant/Finance Staff","As finance staff, I want student fee assignment with discount rules so that personalized billing is controlled.","Student assignment links student_id and fee_structure_id. || discount_type supports none, percentage, fixed. || discount value validation enforces legal ranges. || Inactive assignment excludes the fee item from new invoices."
"SIBA-US-022","R2","E06","Fees, Invoices, And Payments","E06-C02","Invoicing and payment settlement","ERP, Website","Accountant/Finance Staff","As finance staff, I want invoice generation with line-item totals and status transitions so that dues are tracked precisely.","Invoice has unique invoice_no, subtotal, discount_total, late_fee_total, grand_total, paid_total, balance_total. || Status transitions support draft, issued, partially_paid, paid, overdue, cancelled. || Item-level totals roll up correctly to invoice totals. || Cancelling an invoice requires reason and blocks further payment capture."
"SIBA-US-023","R2","E06","Fees, Invoices, And Payments","E06-C02","Invoicing and payment settlement","ERP, Mobile","Accountant/Finance Staff, Parent","As finance staff and parent, I want multi-mode payment recording and real-time balance update so that collections are reliable.","Payment supports cash, upi, card, bank_transfer, cheque. || payment_ref_no must be unique. || On success: paid_total and balance_total update atomically. || Parent mobile app receives payment receipt notification."
"SIBA-US-024","R2","E06","Fees, Invoices, And Payments","E06-C02","Invoicing and payment settlement","Mobile","Parent","As a parent, I want to view fee ledger and overdue alerts so that I do not miss deadlines.","Parent can view invoices by status and due_date. || Overdue invoices trigger reminder notifications. || Invoice detail page displays line items and payment history. || Parent cannot edit financial entries."
"SIBA-US-025","R3","E07","Payroll And Accounting Integration","E07-C01","Payroll setup and run execution","ERP","Accountant/Finance Staff","As finance staff, I want salary component and staff salary structure setup so that payroll can be generated systematically.","Components support earning/deduction and fixed/percentage mode. || Salary structure links staff_id, component_id, value_type, value_amount, effective dates. || Inactive components are excluded from new runs. || All changes are timestamped and audit tracked."
"SIBA-US-026","R3","E07","Payroll And Accounting Integration","E07-C01","Payroll setup and run execution","ERP","Accountant/Finance Staff","As finance staff, I want payroll run processing and approval workflow so that salary posting is controlled.","payroll_run supports draft, processed, approved, posted. || Approval captures approved_by_user_id and approved_at. || Payslip generation stores gross, deduction, net values per staff. || Failed payments keep payslip in pending or failed state."
"SIBA-US-027","R3","E07","Payroll And Accounting Integration","E07-C02","Accounting journals and ledger integrity","ERP","Accountant/Finance Staff","As finance staff, I want journal entries generated from fee and payroll transactions so that books stay reconcilable.","Journal creation supports reference_type manual, fee_payment, payroll, expense, adjustment. || Journal posting requires balanced debit and credit entries. || Posted journals are immutable except via controlled reversal. || Journal status transitions are auditable."
"SIBA-US-028","R3","E07","Payroll And Accounting Integration","E07-C02","Accounting journals and ledger integrity","ERP","Owner/Admin","As an owner, I want chart of account hierarchy and manual-entry controls so that governance is maintained.","account_code uniqueness is enforced. || Parent-child account relations prevent cycles. || allow_manual_entry controls whether users can post directly. || Inactive accounts cannot receive new entries."
"SIBA-US-029","R2","E08","Transport Management","E08-C01","Fleet, route, and stop management","ERP","Owner/Admin","As an admin, I want vehicle, route, and stop master setup so that transport assignments are predictable.","Vehicle requires vehicle_no and registration_no uniqueness. || Route requires route_name uniqueness and shift selection. || Stop requires sequence_no for each route. || Inactive routes/stops are excluded from new assignments."
"SIBA-US-030","R2","E08","Transport Management","E08-C02","Driver and student transport assignment","ERP, Mobile","Owner/Admin, Driver, Parent","As operations, driver, and parent users, I want route assignment visibility so that pickup/drop operations are coordinated.","Driver-vehicle-route assignment includes academic year and effective dates. || Student assignment must reference route_id, stop_id, vehicle_id, driver_user_id. || Driver mobile app displays daily stop list and assigned students. || Parent receives route and timing updates through notifications."
"SIBA-US-031","R2","E08","Transport Management","E08-C02","Driver and student transport assignment","Mobile","Driver","As a driver, I want shift-based trip checklist and incident notes so that route completion is reportable.","Driver can mark stop reached and pickup/drop completion state. || Incident note entry is available per stop. || Trip progress is visible to ERP operations dashboard. || End-of-shift completion timestamp is stored."
"SIBA-US-032","R1","E09","Communications And Notifications","E09-C01","Broadcast and targeted messaging","ERP, Mobile, Website","Owner/Admin","As an admin, I want announcement creation with target role and scheduling so that communication reaches intended users.","Notification supports title, body, type, target_role, schedule. || is_broadcast supports all-user broadcast and targeted delivery. || Cancelled notifications do not deliver to recipients. || Delivery attempts and failures are logged."
"SIBA-US-033","R1","E09","Communications And Notifications","E09-C01","Broadcast and targeted messaging","Mobile","Parent, Teacher, Driver","As a recipient, I want read/unread tracking so that I can manage important updates.","Each recipient record stores is_read and read_at. || Unread count is shown on mobile home. || Mark-all-read action updates recipient states correctly. || Read state syncs across devices for same user."
"SIBA-US-034","R2","E09","Communications And Notifications","E09-C02","Event-triggered system notifications","ERP, Mobile","System + All end users","As the system, I want automatic notifications on key events so that users get timely updates without manual intervention.","Events include admission decision, fee due, payment success/failure, attendance absent/late, exam schedule publish, result publish, transport assignment. || Notification payload contains actor, target, summary, and action link. || Duplicate notifications for same idempotency key are prevented. || Failed dispatch is retried based on configured policy."
"SIBA-US-035","R1","E10","Data Governance, Audit, And Lifecycle Control","E10-C01","Soft deletion and status handling","ERP","Owner/Admin","As an admin, I want soft-delete behavior using deleted_at and status transitions so that historical records remain available.","Delete action sets deleted_at instead of hard removal for operational entities. || Inactive and deleted records are excluded from default list views. || Recovery workflow can reactivate eligible records. || Referential integrity is checked before void/archive operations."
"SIBA-US-036","R2","E10","Data Governance, Audit, And Lifecycle Control","E10-C02","Full audit trail and operational logging","ERP","Owner/Admin, Accountant","As governance users, I want immutable audit trails for critical actions so that compliance and dispute resolution are possible.","Critical actions include admissions decision, marks edits, invoice cancellation, payment reversal, payroll posting, journal posting. || Audit includes who, when, before/after values, and source channel. || Audit logs are searchable by entity and date range. || Unauthorized attempts are captured separately."
"SIBA-US-037","R2","E11","Cross-Channel Sync And Integration Reliability","E11-C01","Event consistency and retries","ERP, Website, Mobile","System","As the platform, I want event-driven state synchronization so that user-facing data remains consistent across channels.","State change events are emitted for admissions, attendance, invoices, payments, exams, and transport updates. || Mobile and Website consume canonical payload format. || Failed consumers retry safely without duplicate side effects. || Event processing latency KPI is measurable."
"SIBA-US-038","R2","E11","Cross-Channel Sync And Integration Reliability","E11-C01","Event consistency and retries","ERP","Owner/Admin","As an admin, I want integration health and failed-job visibility so that operational issues are resolved quickly.","Failed sync jobs appear in monitoring queue. || Admin can retry failed jobs with trace id. || Retry operation is idempotent. || Incident logs can be exported for support."
"SIBA-US-039","R3","E12","Reporting And Operational Dashboards","E12-C01","Domain dashboards and exports","ERP, Website","Owner/Admin, Accountant, Student Counsellor","As leadership and operations users, I want role-specific dashboards and exports so that decisions are data-driven.","Counsellor dashboard includes application funnel and conversion rates. || Academic dashboard includes attendance trend and exam performance. || Finance dashboard includes collections, overdue, and posting status. || Exports support filtered datasets with audit-safe metadata."
"SIBA-US-040","R3","E12","Reporting And Operational Dashboards","E12-C01","Domain dashboards and exports","Mobile","Parent, Teacher, Driver","As mobile users, I want concise status widgets and alerts so that I can act quickly.","Parent widget: dues, attendance exceptions, upcoming exams. || Teacher widget: pending attendance, grading backlog, schedule changes. || Driver widget: trip status, next stop, incident flags. || Widgets refresh with low-latency synced data."
"SIBA-US-041","R1","E12","Reporting And Operational Dashboards","E12-C01","Domain dashboards and exports","ERP","Owner/Admin","Define role-permission matrix for every module action (create, read, update, void/archive, approve).","Matrix version-controlled and approved. || API authorization enforces matrix. || UI action visibility aligns with API authorization."
"SIBA-US-042","R1","E12","Reporting And Operational Dashboards","E12-C01","Domain dashboards and exports","ERP, Website, Mobile","System","Implement canonical timestamp and timezone policy for all date/time fields.","Storage timezone normalized. || Channel display conversion rules documented. || No ambiguity for attendance and payment timestamps."
"SIBA-US-043","R2","E12","Reporting And Operational Dashboards","E12-C01","Domain dashboards and exports","ERP","Accountant/Finance Staff","Implement payment idempotency and reversal controls.","Duplicate payment reference handling is deterministic. || Reversal updates invoice and accounting records consistently. || Parent receives reversal notification."
"SIBA-US-044","R2","E12","Reporting And Operational Dashboards","E12-C01","Domain dashboards and exports","ERP","QA/Operations","Build automated reconciliation checks between invoices, payments, and journal entries.","Mismatch detector reports orphan or imbalanced records. || Daily reconciliation summary is generated. || Critical mismatches trigger escalation alerts."
